#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1580,Cade Marlowe,687799,687799,25505,11657,*051fl*,SEA,OF,OF,Marlowe,Cade,Marlowe,Cade,Cade Marlowe
1581,Sawyer Gipson-Long,687830,687830,26048,11863,*0514z*,DET,SP,SP,Gipson-Long,Sawyer,Gipson-Long,Sawyer,Sawyer Gipson-Long
1582,Marc Church,687847,687847,26353,11993,*051du*,TEX,RP,RP,Church,Marc,Church,Marc,Marc Church
1583,Troy Johnston,687859,687859,26143,11905,*051d0*,MIA,1B/OF,1B/OF,Johnston,Troy,Johnston,Troy,Troy Johnston
1584,Porter Hodge,687863,687863,26413,11980,*051aa*,CHC,RP,RP,Hodge,Porter,Hodge,Porter,Porter Hodge
1585,Brandon Walter,687888,687888,26056,11608,*05rk4*,HOU,SP,SP,Walter,Brandon,Walter,Brandon,Brandon Walter
1586,Bryan King,687911,687911,25890,12111,*06mi0*,HOU,RP,RP,King,Bryan,King,Bryan,Bryan King
1587,Easton Lucas,687922,687922,26058,11859,*051am*,TOR,SP,SP,Lucas,Easton,Lucas,Easton,Easton Lucas
1588,Julian Aguiar,687924,687924,30031,11959,*05yg3*,CIN,SP,SP,Aguiar,Julian,Aguiar,Julian,Julian Aguiar
1589,Carson Whisenhunt,687931,687931,31676,11956,*05y7v*,SF,SP,SP,Whisenhunt,Carson,Whisenhunt,Carson,Carson Whisenhunt
1590,Christian Encarnacion-Strand,687952,687952,30011,11736,*05xor*,CIN,1B,1B,Encarnacion-Strand,Christian,Encarnacion-Strand,Christian,Christian Encarnacion-Strand
1591,Dustin Harris,687957,687957,25705,11589,*0518r*,TEX,OF,OF,Harris,Dustin,Harris,Dustin,Dustin Harris
1592,Robert Gasser,688107,688107,29812,11745,*05u6r*,MIL,SP,SP,Gasser,Robert,Gasser,Robert,Robert Gasser
1593,Logan Evans,688138,688138,33699,12208,*06hv8*,SEA,SP,SP,Evans,Logan,Evans,Logan,Logan Evans
1594,Chris Roycroft,688297,688297,31261,12086,*06lqo*,STL,RP,RP,Roycroft,Chris,Roycroft,Chris,Chris Roycroft
1595,Graham Pauley,688363,688363,31363,11954,*066lr*,MIA,3B,3B,Pauley,Graham,Pauley,Graham,Graham Pauley
1596,Kolton Ingram,688427,688427,26068,11702,*060up*,ATL,RP,RP,Ingram,Kolton,Ingram,Kolton,Kolton Ingram
1597,Gavin Cross,688457,688457,sa3019985,12341,*05tcd*,KC,OF,OF,Cross,Gavin,Cross,Gavin,
1598,Zach Agnos,688642,688642,31552,12221,*064ny*,COL,RP,RP,Agnos,Zach,Agnos,Zach,Zach Agnos
1599,Blaine Crim,688760,688760,25714,12034,*051eo*,COL,1B,1B,Crim,Blaine,Crim,Blaine,Blaine Crim
1600,Landon Knack,689017,689017,27487,11058,*05l9f*,LAD,SP,SP,Knack,Landon,Knack,Landon,Landon Knack
1601,Orion Kerkering,689147,689147,31776,11876,*06491*,PHI,RP,RP,Kerkering,Orion,Kerkering,Orion,Orion Kerkering
1602,Chad Dallas,689149,689149,sa3018180,12063,*05xpp*,TOR,SP,SP,Dallas,Chad,Dallas,Chad,
1603,Brett Wisely,689172,689172,27735,11768,*051br*,SF,2B,2B,Wisely,Brett,Wisely,Brett,Brett Wisely
1604,Jacob Melton,689200,689200,31661,12046,*061gx*,HOU,OF,OF,Melton,Jacob,Melton,Jacob,Jacob Melton
1605,Beau Brieske,689225,689225,26079,11429,*05t6u*,DET,RP,RP,Brieske,Beau,Brieske,Beau,Beau Brieske
1606,Mason Fluharty,689254,689254,31553,12373,*0648y*,TOR,RP,RP,Fluharty,Mason,Fluharty,Mason,Mason Fluharty
