#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
470,Gerson Moreno,642575,642575,sa736656,9891,,STL,RP,RP,Moreno,Gerson,Moreno,Gerson,
471,Felix Bautista,642585,642585,20666,11379,*05t64*,BAL,RP,RP,Bautista,Felix,Bautista,Félix,Félix Bautista
472,Dennis Santana,642701,642701,17878,9917,*046yd*,PIT,RP,RP,Santana,Dennis,Santana,Dennis,Dennis Santana
473,Amed Rosario,642708,642708,15518,9500,*02yh5*,NYY,2B/3B/ OF,2B/SS/ 3B/OF,Rosario,Amed,Rosario,Amed,Amed Rosario
474,Willy Adames,642715,642715,15986,8971,*03atq*,SF,SS,SS,Adames,Willy,Adames,Willy,Willy Adames
475,Sergio Alcantara,642727,642727,16417,9889,*02yh9*,ARI,SS,SS,Alcantara,Sergio,Alcántara,Sergio,Sergio Alcántara
476,Thairo Estrada,642731,642731,16426,9894,*03aay*,COL,2B,2B,Estrada,Thairo,Estrada,Thairo,Thairo Estrada
477,Austin Wynns,642851,642851,15271,9828,*031cs*,ATH,C,C,Wynns,Austin,Wynns,Austin,Austin Wynns
478,Mauricio Dubon,643289,643289,16530,9802,*03aqw*,HOU,1B/2B/ SS/3B/ OF,1B/2B/ SS/3B/ OF,Dubon,Mauricio,Dubón,Mauricio,Mauricio Dubón
479,Justin Dunn,643290,643290,19268,10261,*041m4*,KC,SP,SP,Dunn,Justin,Dunn,Justin,Justin Dunn
480,Kevin Herget,643361,643361,15369,11539,*03at0*,NYM,RP,RP,Herget,Kevin,Herget,Kevin,Kevin Herget
481,Griffin Jax,643377,643377,20253,11218,*0317q*,TB,RP,RP,Jax,Griffin,Jax,Griffin,Griffin Jax
482,Isiah Kiner-Falefa,643396,643396,16512,9863,*031b3*,TOR,2B/SS/ 3B,2B/SS/ 3B,Kiner-Falefa,Isiah,Kiner-Falefa,Isiah,Isiah Kiner-Falefa
483,Mark Leiter Jr.,643410,643410,15551,9648,*0319c*,NYY,RP,RP,Leiter Jr.,Mark,Leiter Jr.,Mark,Mark Leiter Jr.
484,Jeff McNeil,643446,643446,15362,10061,*0317o*,NYM,2B/OF,2B/OF,McNeil,Jeff,McNeil,Jeff,Jeff McNeil
485,Austin Pruitt,643493,643493,15290,9517,*0315n*,ATH,RP,RP,Pruitt,Austin,Pruitt,Austin,Austin Pruitt
486,Tyler Rogers,643511,643511,15541,10725,*0374m*,NYM,RP,RP,Rogers,Tyler,Rogers,Tyler,Tyler Rogers
487,Chadwick Tromp,644433,644433,16953,11085,*056c8*,BOS,C,C,Tromp,Chadwick,Tromp,Chadwick,Chadwick Tromp
488,Sandy Alcantara,645261,645261,18684,9754,*03btv*,MIA,SP,SP,Alcantara,Sandy,Alcantara,Sandy,Sandy Alcantara
489,Victor Robles,645302,645302,18363,9765,*03c65*,SEA,OF,OF,Robles,Victor,Robles,Victor,Victor Robles
490,Ali Sanchez,645305,645305,18551,10752,*033lr*,BOS,C,C,Sanchez,Ali,Sánchez,Ali,Alí Sánchez
491,Jose Herrera,645444,645444,17040,11321,*05xz1*,ARI,C,C,Herrera,Jose,Herrera,Jose,Jose Herrera
492,Mike Ford,645801,645801,15585,9929,*03mgg*,MIN,1B,1B,Ford,Mike,Ford,Mike,Mike Ford
493,Rafael Devers,646240,646240,17350,9708,*030uc*,SF,1B/3B,1B/3B,Devers,Rafael,Devers,Rafael,Rafael Devers
494,Jhonathan Diaz,646242,646242,20298,11291,*04oc6*,SEA,SP,SP,Diaz,Jhonathan,Díaz,Jhonathan,Jhonathan Díaz
495,Josh Naylor,647304,647304,18839,10255,*03pjd*,SEA,1B,1B,Naylor,Josh,Naylor,Josh,Josh Naylor
496,Zach Pop,647315,647315,20185,11183,*03dv0*,CHC,RP,RP,Pop,Zach,Pop,Zach,Zach Pop
497,Michael Soroka,647336,647336,18383,9791,*03pjf*,CHC,SP,SP,Soroka,Michael,Soroka,Michael,Michael Soroka
498,Abraham Toro,647351,647351,19844,10001,*041se*,BOS,1B/3B,1B/3B,Toro,Abraham,Toro,Abraham,Abraham Toro
499,Luis Urias,649966,649966,16622,9922,*03o43*,MIL,2B/3B,2B/3B,Urias,Luis,,,
500,Luis Arraez,650333,650333,18568,10481,*03mew*,SD,1B/2B,1B/2B,Arraez,Luis,Arraez,Luis,Luis Arraez
501,Eloy Jimenez,650391,650391,17484,9782,*030ud*,TOR,OF,OF,Jimenez,Eloy,,,
502,Willi Castro,650489,650489,17338,9856,*03btu*,CHC,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Castro,Willi,Castro,Willi,Willi Castro
503,Yandy Diaz,650490,650490,16578,9639,*03m6o*,TB,1B,1B,Diaz,Yandy,Díaz,Yandy,Yandy Díaz
504,Bryan Abreu,650556,650556,16609,10381,*04tlv*,HOU,RP,RP,Abreu,Bryan,Abreu,Bryan,Bryan Abreu
505,Bryan De La Cruz,650559,650559,19600,11247,*03bud*,NYY,OF,OF,De La Cruz,Bryan,De La Cruz,Bryan,Bryan De La Cruz
506,Meibrys Viloria,650619,650619,17109,9979,,CLE,C,C,Viloria,Meibrys,,,
507,Michael King,650633,650633,19853,10289,*041wv*,SD,SP,SP,King,Michael,King,Michael,Michael King
508,Aaron Civale,650644,650644,19479,10640,*041qr*,CHC,SP,SP,Civale,Aaron,Civale,Aaron,Aaron Civale
509,Jose Quijada,650671,650671,19200,10465,*04k0x*,LAA,RP,RP,Quijada,Jose,Quijada,José,José Quijada
510,Luis Rengifo,650859,650859,19858,9609,*03avk*,LAA,2B/3B,2B/3B,Rengifo,Luis,Rengifo,Luis,Luis Rengifo
511,Genesis Cabrera,650893,650893,17490,10447,*040cf*,MIN,RP,RP,Cabrera,Genesis,Cabrera,Génesis,Génesis Cabrera
512,Diego Castillo,650895,650895,17496,9903,*041me*,COL,RP,RP,Castillo,Diego,Castillo,Diego,Diego Castillo
513,Cristopher Sanchez,650911,650911,20778,10770,*052c8*,PHI,SP,SP,Sanchez,Cristopher,Sánchez,Cristopher,Cristopher Sánchez
514,Daniel Duarte,650960,650960,17480,11351,*05y12*,MIN,RP,RP,Duarte,Daniel,Duarte,Daniel,Daniel Duarte
515,Yohel Pozo,650968,650968,18848,11262,*03yr2*,STL,C,C,Pozo,Yohel,Pozo,Yohel,Yohel Pozo
516,Andruw Monasterio,655316,655316,19455,11797,*04vvy*,MIL,1B/2B/ SS/3B,1B/2B/ SS/3B,Monasterio,Andruw,Monasterio,Andruw,Andruw Monasterio
517,Manuel Rodriguez,655889,655889,20794,10778,*05ad7*,TB,RP,RP,Rodriguez,Manuel,Rodríguez,Manuel,Manuel Rodríguez
518,Carlos Perez,656024,656024,20805,11543,*03mkv*,CHW,C,C,Perez,Carlos,,,
519,Albert Abreu,656061,656061,17485,9895,,CIN,RP,RP,Abreu,Albert,Abreu,Albert,Albert Abreu
520,Riley Adams,656180,656180,19864,10850,*04azt*,WSH,C,C,Adams,Riley,Adams,Riley,Riley Adams
521,Jalen Beeks,656222,656222,17192,9833,*03djb*,ARI,RP,RP,Beeks,Jalen,Beeks,Jalen,Jalen Beeks
522,Brandon Bielak,656232,656232,19866,11000,*04el1*,ARI,RP,RP,Bielak,Brandon,Bielak,Brandon,Brandon Bielak
523,Jake Bird,656234,656234,21267,11493,*04pqs*,NYY,RP,RP,Bird,Jake,Bird,Jake,Jake Bird
524,Scott Blewett,656240,656240,16427,10452,*03d7c*,BAL,RP,RP,Blewett,Scott,Blewett,Scott,Scott Blewett
525,Sean Bouchard,656248,656248,21270,11497,*04ejn*,COL,OF,OF,Bouchard,Sean,Bouchard,Sean,Sean Bouchard
526,J.B. Bukauskas,656266,656266,20491,10221,*03dsj*,MIL,RP,RP,Bukauskas,J.B.,Bukauskas,J.B.,JB Bukauskas
527,Brock Burke,656271,656271,17968,10483,*03dap*,LAA,RP,RP,Burke,Brock,Burke,Brock,Brock Burke
528,Griffin Canning,656288,656288,19867,10209,*04eek*,NYM,SP,SP,Canning,Griffin,Canning,Griffin,Griffin Canning
529,Dylan Cease,656302,656302,18525,10191,*03df2*,SD,SP,SP,Cease,Dylan,Cease,Dylan,Dylan Cease
530,Michael Chavis,656308,656308,17321,9818,*03d6t*,LAD,2B,2B,Chavis,Michael,Chavis,Michael,Michael Chavis
531,Austin Davis,656354,656354,17117,10044,,SD,RP,RP,Davis,Austin,Davis,Austin,Austin Davis
532,Isan Diaz,656371,656371,17922,10219,,KC,2B,2B,Diaz,Isan,Díaz,Isan,Isan Díaz
533,Tommy Doyle,656382,656382,21281,11081,,COL,RP,RP,Doyle,Tommy,Doyle,Tommy,Tommy Doyle
534,Drew Ellis,656403,656403,19873,11249,,SF,3B,3B,Ellis,Drew,Ellis,Drew,Drew Ellis
535,Alex Faedo,656412,656412,19874,10127,*04aec*,TB,RP,RP,Faedo,Alex,Faedo,Alex,Alex Faedo
536,Stuart Fairchild,656413,656413,20321,10963,*04eel*,TB,OF,OF,Fairchild,Stuart,Fairchild,Stuart,Stuart Fairchild
537,Jack Flaherty,656427,656427,17479,9750,*03d6w*,DET,SP,SP,Flaherty,Jack,Flaherty,Jack,Jack Flaherty
538,Tyler Gilbert,656457,656457,17964,10819,*03qm3*,CHW,RP,RP,Gilbert,Tyler,Gilbert,Tyler,Tyler Gilbert
539,Lucas Gilbreath,656458,656458,21290,11177,*04ei1*,COL,RP,RP,Gilbreath,Lucas,Gilbreath,Lucas,Lucas Gilbreath
540,Kevin Ginkel,656464,656464,19876,10662,*03dpg*,ARI,RP,RP,Ginkel,Kevin,Ginkel,Kevin,Kevin Ginkel
541,Tristan Gray,656484,656484,19877,10952,*04eme*,TB,SS,SS,Gray,Tristan,Gray,Tristan,Tristan Gray
542,Sam Hentges,656529,656529,18548,10326,*03dbu*,CLE,RP,RP,Hentges,Sam,Hentges,Sam,Sam Hentges
543,Derek Hill,656537,656537,16947,10714,*03d6q*,MIA,OF,OF,Hill,Derek,Hill,Derek,Derek Hill
544,Sam Hilliard,656541,656541,17954,10457,*03qs6*,COL,OF,OF,Hilliard,Sam,Hilliard,Sam,Sam Hilliard
545,Rhys Hoskins,656555,656555,16472,9725,*03de9*,MIL,1B,1B,Hoskins,Rhys,Hoskins,Rhys,Rhys Hoskins
546,Tanner Houck,656557,656557,19879,11068,*03djk*,BOS,SP,SP,Houck,Tanner,Houck,Tanner,Tanner Houck
547,Alex Jackson,656577,656577,17276,8963,*02yoi*,BAL,C,C,Jackson,Alex,Jackson,Alex,Alex Jackson
548,Connor Joe,656582,656582,16572,10517,*03d6y*,CIN,1B/OF,1B/OF,Joe,Connor,Joe,Connor,Connor Joe
549,Mitch Keller,656605,656605,17594,9799,*03d7h*,PIT,SP,SP,Keller,Mitch,Keller,Mitch,Mitch Keller
550,Mark Kolozsvary,656627,656627,21304,11076,*04eid*,BOS,C,C,Kolozsvary,Mark,Kolozsvary,Mark,Mark Kolozsvary
551,Michael Kopech,656629,656629,17282,9779,*03d6v*,LAD,RP,RP,Kopech,Michael,Kopech,Michael,Michael Kopech
552,Alex Lange,656638,656638,19883,11062,*03yui*,DET,RP,RP,Lange,Alex,Lange,Alex,Alex Lange
553,Jacob Latz,656641,656641,21306,11266,*03div*,TEX,SP,SP,Latz,Jacob,Latz,Jacob,Jacob Latz
554,Brock Lundquist,656668,656668,,10607,*04eha*,TOR,OF,OF,Lundquist,Brock,Lundquist,Brock,
555,Jordan Luplow,656669,656669,16424,9716,,MIN,OF,OF,Luplow,Jordan,,,
556,Josh Maciejewski,656671,656671,21310,12073,,MIL,RP,RP,Maciejewski,Josh,Maciejewski,Josh,Josh Maciejewski
557,Zach McKinstry,656716,656716,19392,9993,*0473m*,DET,SS/3B/ OF,2B/SS/ 3B/OF,McKinstry,Zach,McKinstry,Zach,Zach McKinstry
558,Trevor Megill,656730,656730,17722,10804,*03dau*,MIL,RP,RP,Megill,Trevor,Megill,Trevor,Trevor Megill
559,Tylor Megill,656731,656731,21318,11227,*04ywk*,NYM,SP,SP,Megill,Tylor,Megill,Tylor,Tylor Megill
560,Bryce Montes De Oca,656755,656755,21319,11561,*03dnu*,NYM,RP,RP,Montes De Oca,Bryce,Montes De Oca,Bryce,Bryce Montes de Oca
561,Jordan Montgomery,656756,656756,16511,9646,*03dbo*,MIL,SP,SP,Montgomery,Jordan,Montgomery,Jordan,Jordan Montgomery
562,Cedric Mullins,656775,656775,17929,10072,*03qr0*,NYM,OF,OF,Mullins,Cedric,Mullins,Cedric,Cedric Mullins
563,Parker Mushinski,656786,656786,21324,11451,*04ei3*,CLE,SP,SP,Mushinski,Parker,Mushinski,Parker,Parker Mushinski
564,Ryan O’Hearn,656811,656811,16442,9824,*03dgq*,SD,1B/OF,1B/OF,O’Hearn,Ryan,O’Hearn,Ryan,Ryan O’Hearn
565,Luis F. Ortiz,656814,656814,16942,9825,,NYM,RP,RP,Ortiz,Luis F.,Ortiz,Luis F.,Luis F. Ortiz
566,Connor Overton,656818,656818,18376,11260,*03doq*,TOR,SP,SP,Overton,Connor,Overton,Connor,Connor Overton
567,Nicholas Padilla,656820,656820,21327,11548,*03qra*,PHI,RP,RP,Padilla,Nicholas,Padilla,Nicholas,Nicholas Padilla
568,Michael Petersen,656848,656848,20827,12107,*05xz4*,MIA,RP,RP,Petersen,Michael,Petersen,Michael,Michael Petersen
569,David Peterson,656849,656849,20302,10181,*04g1x*,NYM,SP,SP,Peterson,David,Peterson,David,David Peterson
570,Drew Rasmussen,656876,656876,25385,10807,*04eee*,TB,SP,SP,Rasmussen,Drew,Rasmussen,Drew,Drew Rasmussen
571,Jakson Reetz,656883,656883,17837,10967,*03dan*,NYM,C,C,Reetz,Jakson,Reetz,Jakson,Jakson Reetz
572,Sean Reid-Foley,656887,656887,17034,10074,*03d7a*,ARI,RP,RP,Reid-Foley,Sean,Reid-Foley,Sean,Sean Reid-Foley
573,Emmanuel Rivera,656896,656896,19890,11231,*03qvs*,BAL,3B,3B,Rivera,Emmanuel,Rivera,Emmanuel,Emmanuel Rivera
574,Jared Robinson,656904,656904,sa829022,10594,,ATL,RP,RP,Robinson,Jared,Robinson,Jared,
575,Ryder Ryan,656924,656924,19891,11837,*04aja*,PIT,RP,RP,Ryan,Ryder,Ryan,Ryder,Ryder Ryan
576,Tanner Scott,656945,656945,17586,9772,*03dfa*,LAD,RP,RP,Scott,Tanner,Scott,Tanner,Tanner Scott
577,Pavin Smith,656976,656976,19892,10309,*04alq*,ARI,1B/OF,1B/OF,Smith,Pavin,Smith,Pavin,Pavin Smith
578,Peter Solomon,656981,656981,20476,11168,,CHC,RP,RP,Solomon,Peter,Solomon,Peter,Peter Solomon
579,Bennett Sousa,656986,656986,21345,10903,*04puc*,HOU,RP,RP,Sousa,Bennett,Sousa,Bennett,Bennett Sousa
580,Justin Steele,657006,657006,17312,10477,*03deg*,CHC,SP,SP,Steele,Justin,Steele,Justin,Justin Steele
581,Trey Supak,657022,657022,sa828707,10473,,TEX,SP,SP,Supak,Trey,Supak,Trey,Trey Supak
582,Lane Thomas,657041,657041,16939,10446,*03dei*,CLE,OF,OF,Thomas,Lane,Thomas,Lane,Lane Thomas
583,Ryan Thompson,657044,657044,16647,10960,*03duu*,ARI,RP,RP,Thompson,Ryan,Thompson,Ryan,Ryan Thompson
584,Touki Toussaint,657053,657053,16929,8933,*02yog*,LAA,RP,RP,Toussaint,Touki,Toussaint,Touki,Touki Toussaint
585,Alex Verdugo,657077,657077,17027,9757,*03d7g*,FA,OF,OF,Verdugo,Alex,,,
586,Forrest Wall,657088,657088,16496,8944,*03d6z*,CHC,2B,2B,Wall,Forrest,Wall,Forrest,Forrest Wall
587,Jacob Webb,657097,657097,19274,10442,*04y76*,TEX,RP,RP,Webb,Jacob,Webb,Jacob,Jacob Webb
588,Evan White,657108,657108,20078,10196,*04bpk*,LAA,1B,1B,White,Evan,White,Evan,Evan White
589,Connor Wong,657136,657136,19896,10937,*04efi*,BOS,C,C/1B,Wong,Connor,Wong,Connor,Connor Wong
590,Kyle Wright,657140,657140,19665,10093,*04aed*,KC,SP,SP,Wright,Kyle,Wright,Kyle,Kyle Wright
591,Eddy Alvarez,657193,657193,,10836,*03mpn*,ATL,2B,2B,Alvarez,Eddy,Alvarez,Eddy,Eddy Alvarez
592,Julian Merryweather,657240,657240,16703,9859,*03deo*,MIL,RP,RP,Merryweather,Julian,Merryweather,Julian,Julian Merryweather
593,Brian O’Keefe,657247,657247,16680,10865,*03dg6*,KC,C,C,O’Keefe,Brian,O’Keefe,Brian,Brian O’Keefe
594,Glenn Otto,657248,657248,21366,11269,*04egl*,HOU,RP,RP,Otto,Glenn,Otto,Glenn,Glenn Otto
595,Peter Strzelecki,657265,657265,21367,11481,*061mp*,TB,RP,RP,Strzelecki,Peter,Strzelecki,Peter,Peter Strzelecki
596,Logan Webb,657277,657277,17995,10480,*03dbm*,SF,SP,SP,Webb,Logan,Webb,Logan,Logan Webb
597,Clarke Schmidt,657376,657376,19899,10165,*04ee7*,NYY,SP,SP,Schmidt,Clarke,Schmidt,Clarke,Clarke Schmidt
598,Matt Gage,657424,657424,17381,11488,,SF,RP,RP,Gage,Matt,Gage,Matt,Matt Gage
599,Brennan Bernardino,657514,657514,16835,11522,*061t3*,BOS,RP,RP,Bernardino,Brennan,Bernardino,Brennan,Brennan Bernardino
600,Paul DeJong,657557,657557,18015,9666,*03qkh*,WSH,2B/SS/ 3B,2B/SS/ 3B,DeJong,Paul,DeJong,Paul,Paul DeJong
601,Caleb Ferguson,657571,657571,19349,10041,*043r7*,SEA,RP,RP,Ferguson,Caleb,Ferguson,Caleb,Caleb Ferguson
602,Reed Garrett,657585,657585,16866,10511,*03dpt*,NYM,RP,RP,Garrett,Reed,Garrett,Reed,Reed Garrett
603,Tim Hill,657612,657612,16814,9980,*04022*,NYY,RP,RP,Hill,Tim,Hill,Tim,Tim Hill
604,Jared Koenig,657649,657649,27517,11489,*05ylp*,MIL,RP,RP,Koenig,Jared,Koenig,Jared,Jared Koenig
605,Ramon Laureano,657656,657656,17128,9919,*03dp8*,SD,OF,OF,Laureano,Ramon,Laureano,Ramón,Ramón Laureano
606,Antonio Nunez,657701,657701,,9969,,TEX,,,Nunez,Antonio,Nunez,Antonio,
607,Michael Papierski,657709,657709,21386,10993,,SEA,C,C,Papierski,Michael,Papierski,Michael,Michael Papierski
608,Joe Ryan,657746,657746,21390,10786,*04ps7*,MIN,SP,SP,Ryan,Joe,Ryan,Joe,Joe Ryan
609,Connor Seabold,657756,657756,19695,11023,*03drx*,ATL,RP,RP,Seabold,Connor,Seabold,Connor,Connor Seabold
610,Gavin Sheets,657757,657757,19901,10204,*04eej*,SD,1B/OF,1B/OF,Sheets,Gavin,Sheets,Gavin,Gavin Sheets
611,Eric Stout,657770,657770,16873,9981,*03dne*,SEA,RP,RP,Stout,Eric,Stout,Eric,Eric Stout
612,Adonis Medina,658431,658431,19903,10121,,PHI,RP,RP,Medina,Adonis,Medina,Adonis,Adonis Medina
613,Junior Fernandez,658551,658551,18496,10666,,NYM,RP,RP,Fernandez,Junior,Fernández,Junior,Junior Fernández
614,Pedro Avila,658648,658648,18864,10310,,CLE,RP,RP,Avila,Pedro,Avila,Pedro,Pedro Avila
615,Shohei Ohtani,660271,660271,19755,98100,*02yc4*,LAD,RP,RP,Ohtani,Shohei,Ohtani,Shohei,Shohei Ohtani
616,Enoli Paredes,660600,660600,20447,10737,*04ywp*,ATL,RP,RP,Paredes,Enoli,Paredes,Enoli,Enoli Paredes
617,Ronaldo Hernandez,660613,660613,sa881850,10317,*04al0*,BOS,C,C,Hernandez,Ronaldo,Hernández,Ronaldo,Ronaldo Hernández
618,Huascar Ynoa,660623,660623,20468,10214,*03gl9*,MIN,RP,RP,Ynoa,Huascar,Ynoa,Huascar,Huascar Ynoa
619,Yonny Hernandez,660634,660634,19432,11121,*04yin*,NYM,2B,2B,Hernandez,Yonny,Hernandez,Yonny,Yonny Hernández
620,Diego Castillo,660636,660636,19906,11319,*041me*,KC,2B,2B,Castillo,Diego,Castillo,Diego,Diego Castillo
621,Vidal Brujan,660644,660644,20536,9987,*03yxd*,ATL,2B,2B,Brujan,Vidal,Bruján,Vidal,Vidal Bruján
622,Ronald Acuna Jr.,660670,660670,18401,9775,*03wha*,ATL,OF,OF,Acuna Jr.,Ronald,Acuna Jr.,Ronald,Ronald Acuña Jr.
623,Keibert Ruiz,660688,660688,19610,10263,*03rmz*,WSH,C,C,Ruiz,Keibert,Ruiz,Keibert,Keibert Ruiz
624,Jose Suarez,660761,660761,19911,10470,*03nqc*,ATL,RP,RP,Suarez,Jose,Suarez,José,José Suarez
625,Juan Yepez,660766,660766,18400,11302,*03ner*,WSH,DH,DH,Yepez,Juan,Yepez,Juan,Juan Yepez
626,Yerry De los Santos,660787,660787,21420,11476,*05gsw*,NYY,RP,RP,De los Santos,Yerry,De los Santos,Yerry,Yerry De Los Santos
627,Brusdar Graterol,660813,660813,20367,10152,*03zbj*,LAD,RP,RP,Graterol,Brusdar,Graterol,Brusdar,Brusdar Graterol
628,Jesus Sanchez,660821,660821,19913,10236,*03nru*,HOU,OF,OF,Sanchez,Jesus,Sánchez,Jesús,Jesús Sánchez
629,Eduard Bazardo,660825,660825,20997,11165,*04mjn*,SEA,RP,RP,Bazardo,Eduard,Bazardo,Eduard,Eduard Bazardo
630,Hoy Park,660829,660829,18027,11240,*03mky*,ATH,2B,2B,Park,Hoy,Park,Hoy,Hoy Park
631,Leo Rivas,660844,660844,21009,12081,*04ave*,SEA,2B/SS,2B/SS,Rivas,Leo,Rivas,Leo,Leo Rivas
632,Enyel De Los Santos,660853,660853,18403,10058,*03y4y*,HOU,RP,RP,De Los Santos,Enyel,De Los Santos,Enyel,Enyel De Los Santos
633,Jorge Alcala,660896,660896,19459,10701,*04ata*,STL,RP,RP,Alcala,Jorge,Alcala,Jorge,Jorge Alcala
634,Francisco Perez,660906,660906,21018,11259,,ATH,RP,RP,Perez,Francisco,Pérez,Francisco,Francisco Pérez
635,Adrian Martinez,661309,661309,21023,11320,*05u3c*,ATH,RP,RP,Martinez,Adrian,Martínez,Adrián,Adrián Martínez
636,Oliver Ortega,661383,661383,21025,11278,*050ig*,NYM,RP,RP,Ortega,Oliver,Ortega,Oliver,Oliver Ortega
637,William Contreras,661388,661388,20503,10364,*03yrz*,MIL,C,C,Contreras,William,Contreras,William,William Contreras
638,Jhoan Duran,661395,661395,21029,10239,*04apj*,PHI,RP,RP,Duran,Jhoan,Duran,Jhoan,Jhoan Duran
639,Emmanuel Clase,661403,661403,21032,10661,*04ug5*,CLE,RP,RP,Clase,Emmanuel,Clase,Emmanuel,Emmanuel Clase
640,Seth Martinez,661527,661527,21045,11293,*0420n*,MIA,RP,RP,Martinez,Seth,Martinez,Seth,Seth Martinez
641,Brian Serven,661531,661531,19422,11473,*041rz*,DET,C,C,Serven,Brian,Serven,Brian,Brian Serven
642,Luis Gil,661563,661563,21052,10760,*04s1h*,NYY,SP,SP,Gil,Luis,Gil,Luis,Luis Gil
643,Daulton Varsho,662139,662139,19918,10180,*04efa*,TOR,OF,OF,Varsho,Daulton,Varsho,Daulton,Daulton Varsho
644,Andres Munoz,662253,662253,20373,10134,*0403o*,SEA,RP,RP,Munoz,Andres,Muñoz,Andrés,Andrés Muñoz
645,Robert Suarez,663158,663158,30115,11407,*05r01*,SD,RP,RP,Suarez,Robert,Suarez,Robert,Robert Suarez
646,Nick Hernandez,663321,663321,19281,11866,*041ue*,HOU,RP,RP,Hernandez,Nick,Hernandez,Nick,Nick Hernandez
647,Jahmai Jones,663330,663330,18872,10223,*03pp6*,DET,OF,OF,Jones,Jahmai,Jones,Jahmai,Jahmai Jones
648,Matt Waldron,663362,663362,25550,11815,*051e5*,SD,SP,SP,Waldron,Matt,Waldron,Matt,Matt Waldron
649,Blake Perkins,663368,663368,19921,11719,*03pp5*,MIL,OF,OF,Perkins,Blake,Perkins,Blake,Blake Perkins
650,Ryan Feltner,663372,663372,21446,11282,*03r06*,COL,SP,SP,Feltner,Ryan,Feltner,Ryan,Ryan Feltner
651,Thomas Szapucki,663378,663378,21065,10342,,DET,RP,RP,Szapucki,Thomas,Szapucki,Thomas,Thomas Szapucki
652,Trent Thornton,663423,663423,17948,10494,*031k3*,SEA,RP,RP,Thornton,Trent,Thornton,Trent,Trent Thornton
653,Tanner Rainey,663432,663432,17610,10020,*03pp7*,DET,RP,RP,Rainey,Tanner,Rainey,Tanner,Tanner Rainey
654,Davis Martin,663436,663436,21448,11470,*04pxf*,CHW,SP,SP,Martin,Davis,Martin,Davis,Davis Martin
655,Konnor Pilkington,663455,663455,21453,11386,*04muw*,WSH,RP,RP,Pilkington,Konnor,Pilkington,Konnor,Konnor Pilkington
656,Lars Nootbaar,663457,663457,21454,11225,*04pt2*,STL,OF,OF,Nootbaar,Lars,Nootbaar,Lars,Lars Nootbaar
657,Kris Bubic,663460,663460,21455,10933,*04pmb*,KC,SP,SP,Bubic,Kris,Bubic,Kris,Kris Bubic
658,Isaiah Campbell,663462,663462,25551,10871,*04q6c*,BOS,RP,RP,Campbell,Isaiah,Campbell,Isaiah,Isaiah Campbell
659,Kolby Allard,663465,663465,18694,9790,*03nqg*,CLE,RP,RP,Allard,Kolby,Allard,Kolby,Kolby Allard
660,Cole Sands,663485,663485,21461,11364,*03qxr*,MIN,RP,RP,Sands,Cole,Sands,Cole,Cole Sands
661,Ben Leeper,663510,663510,sa3014907,11413,*05u1w*,CHC,RP,RP,Leeper,Ben,Leeper,Ben,
662,Tristin English,663536,663536,26148,12424,*0512d*,ARI,1B,1B,English,Tristin,English,Tristin,Tristin English
663,Nico Hoerner,663538,663538,21479,10302,*04pkr*,CHC,2B,2B/SS,Hoerner,Nico,Hoerner,Nico,Nico Hoerner
664,Bryan Hudson,663542,663542,19924,11812,*03svw*,CHW,RP,RP,Hudson,Bryan,Hudson,Bryan,Bryan Hudson
665,Sean Hjelle,663546,663546,21481,10791,*04nx1*,SF,RP,RP,Hjelle,Sean,Hjelle,Sean,Sean Hjelle
666,Casey Mize,663554,663554,20492,10159,*04mlf*,DET,SP,SP,Mize,Casey,Mize,Casey,Casey Mize
667,Shane McClanahan,663556,663556,21483,10332,*04mlt*,TB,SP,SP,McClanahan,Shane,McClanahan,Shane,Shane McClanahan
668,Jovani Moran,663558,663558,20422,11287,*03qmm*,BOS,RP,RP,Moran,Jovani,Morán,Jovani,Jovani Moran
669,Bailey Falter,663559,663559,20070,11171,*03ql8*,KC,SP,SP,Falter,Bailey,Falter,Bailey,Bailey Falter
670,Noah Davis,663562,663562,25862,11347,*04pva*,MIN,RP,RP,Davis,Noah,Davis,Noah,Noah Davis
671,Stephen Kolek,663568,663568,21487,12009,*04pvu*,KC,SP,SP,Kolek,Stephen,Kolek,Stephen,Stephen Kolek
672,Tony Santillan,663574,663574,19926,10347,*03poq*,CIN,RP,RP,Santillan,Tony,Santillan,Tony,Tony Santillan
673,Hayden Senger,663584,663584,21489,12372,*04q63*,NYM,C,C,Senger,Hayden,Senger,Hayden,Hayden Senger
674,Austin Riley,663586,663586,18360,9821,*03pom*,ATL,3B,3B,Riley,Austin,Riley,Austin,Austin Riley
675,Brandon Lockridge,663604,663604,21496,12173,*04prc*,MIL,OF,OF,Lockridge,Brandon,Lockridge,Brandon,Brandon Lockridge
676,Luken Baker,663609,663609,21497,11803,*04069*,LAD,DH,DH,Baker,Luken,Baker,Luken,Luken Baker
677,Nick Madrigal,663611,663611,20521,10297,*03qu7*,NYM,2B,2B,Madrigal,Nick,Madrigal,Nick,Nick Madrigal
678,Trevor Larnach,663616,663616,21501,10350,*04nky*,MIN,OF,OF,Larnach,Trevor,Larnach,Trevor,Trevor Larnach
